Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,official_video,EnergyLiveness,,,,,,,,,, 
album,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,true,1.15008156606852,,,,,,,,,,
album,0.676,0.703,-5.815,0.0302,0.0869,0.000687,0.0463,0.852,92.761,true,15.1835853131749,,,,,,,,,,
single,0.695,0.923,-3.93,0.0522,0.0425,0.0469,0.116,0.551,108.014,true,7.95689655172414,,,,,,,,,,
album,0.689,0.739,-5.81,0.026,0.0000151,0.509,0.064,0.578,120.423,true,11.546875,,,,,,,,,,
album,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,true,9.94269340974212,,,,,,,,,,
album,0.76,0.891,-5.852,0.0372,0.0229,0.0869,0.298,0.966,120.264,true,2.98993288590604,,,,,,,,,,
single,0.716,0.897,-7.185,0.0629,0.012,0.262,0.325,0.358,127.03,true,2.76,,,,,,,,,,
album,0.726,0.815,-5.886,0.0313,0.00799,0.081,0.112,0.462,140.158,false,7.27678571428571,,,,,,,,,,
single,0.741,0.913,-3.34,0.0465,0.00343,0.103,0.325,0.643,120.012,true,2.80923076923077,,,,,,,,,,
album,0.625,0.877,-7.176,0.162,0.0315,0.0811,0.672,0.865,192.296,true,1.30505952380952,,,,,,,,,,
album,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,true,6.03937007874016,,,,,,,,,,
album,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,true,2.4468085106383,,,,,,,,,,
album,0.618,0.938,-3.442,0.0456,0.0179,0,0.167,0.875,91.455,true,5.61676646706587,,,,,,,,,,
album,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,true,6.63888888888889,,,,,,,,,,
album,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,true,10.515873015873,,,,,,,,,,
album,0.427,0.9,-3.674,0.0499,0.116,0.0000175,0.119,0.599,104.655,true,7.56302521008403,,,,,,,,,,
album,0.556,0.913,-2.36,0.0437,0.0193,0.00000859,0.346,0.73,96.184,true,2.63872832369942,,,,,,,,,,
album,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,true,9.50980392156863,,,,,,,,,,
album,0.666,0.936,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,true,6.11764705882353,,,,,,,,,,
album,0.7,0.742,-6.777,0.0716,0.0722,0.0199,0.11,0.197,91.959,true,6.74545454545455,,,,,,,,,,
album,0.902,0.72,-2.776,0.347,0.26,0,0.0749,0.805,90.059,true,9.6128170894526,,,,,,,,,,
album,0.614,0.574,-7.961,0.466,0.0253,0.000032,0.38,0.755,125.173,true,1.51052631578947,,,,,,,,,,
album,0.489,0.692,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,true,2.1968253968254,,,,,,,,,,
album,0.7,0.758,-3.012,0.342,0.0444,0.000013,0.0401,0.889,78.693,true,18.9027431421446,,,,,,,,,,
album,0.653,0.826,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,true,6.30534351145038,,,,,,,,,,
album,0.925,0.659,-4.763,0.231,0.206,0.0000788,0.279,0.71,97.018,true,2.36200716845878,,,,,,,,,,
album,0.576,0.807,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,true,15.76171875,,,,,,,,,,
album,0.853,0.776,-4.221,0.261,0.0714,0,0.181,0.659,94.028,true,4.28729281767956,,,,,,,,,,
album,0.892,0.631,-2.522,0.302,0.244,0,0.0235,0.838,93.975,false,26.8510638297872,,,,,,,,,,
single,0.545,0.64,-3.529,0.308,0.368,0,0.111,0.574,181.733,false,5.76576576576577,,,,,,,,,,
album,0.566,0.834,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,true,13.344,,,,,,,,,,
album,0.547,0.394,-9.793,0.0262,0.0522,0.0000064,0.0795,0.17,142.37,true,4.9559748427673,,,,,,,,,,
album,0.539,0.828,-9.108,0.035,0.00067,0.421,0.154,0.562,105.25,true,5.37662337662338,,,,,,,,,,
album,0.511,0.972,-3.751,0.0413,0.00000536,0.00101,0.19,0.532,132.97,false,5.11578947368421,,,,,,,,,,
album,0.531,0.583,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,false,2.28627450980392,,,,,,,,,,
album,0.438,0.687,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,false,1.63571428571429,,,,,,,,,,
album,0.512,0.86,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,true,13.1901840490798,,,,,,,,,,
single,0.386,0.996,-2.96,0.0754,0.0000115,0.000836,0.116,0.188,130.573,true,8.58620689655172,,,,,,,,,,
album,0.624,0.876,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,true,15.6149732620321,,,,,,,,,,
single,0.425,0.972,-3.448,0.045,0.0000242,0.0202,0.239,0.282,101.125,true,4.06694560669456,,,,,,,,,,
album,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,true,2.82478632478633,,,,,,,,,,
album,0.486,0.617,-7.115,0.0287,0.0954,0.00000323,0.109,0.417,138.015,true,5.6605504587156,,,,,,,,,,
album,0.371,0.268,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,true,2.57692307692308,,,,,,,,,,
album,0.617,0.635,-6.769,0.0317,0.0498,0.0000144,0.164,0.446,103.019,true,3.8719512195122,,,,,,,,,,
album,0.557,0.442,-7.224,0.0243,0.731,0.0000146,0.11,0.213,146.277,true,4.01818181818182,,,,,,,,,,
album,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,true,3.22966507177034,,,,,,,,,,
album,0.449,0.585,-6.761,0.0268,0.0509,0.0000875,0.0833,0.212,139.631,true,7.02280912364946,,,,,,,,,,
album,0.491,0.693,-6.487,0.0377,0.211,0.00000692,0.325,0.412,90.027,true,2.13230769230769,,,,,,,,,,
album,0.573,0.711,-6.268,0.0406,0.0114,0,0.328,0.47,105.006,true,2.16768292682927,,,,,,,,,,
album,0.209,0.417,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,true,3.69026548672566,,,,,,,,,,
single,0.794,0.811,-8.966,0.038,0.0426,0.00000107,0.101,0.862,116.047,false,8.02970297029703,,,,,,,,,,
album,0.613,0.697,-8.618,0.133,0.0194,0,0.332,0.476,122.746,true,2.09939759036145,,,,,,,,,,
album,0.775,0.585,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,true,7.5974025974026,,,,,,,,,,
album,0.81,0.793,-9.404,0.0403,0.0378,0.00000177,0.072,0.863,116.05,false,11.0138888888889,,,,,,,,,,
album,0.956,0.795,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,true,8.77483443708609,,,,,,,,,,
album,0.817,0.716,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,true,2,,,,,,,,,,
album,0.875,0.475,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,true,10.3260869565217,,,,,,,,,,
album,0.832,0.659,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,true,8.75166002656042,,,,,,,,,,
album,0.605,0.687,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,true,6.60576923076923,,,,,,,,,,
album,0.644,0.664,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,true,1.94152046783626,,,,,,,,,,
album,0.556,0.864,-5.87,0.0584,0.00958,0,0.209,0.4,105.143,true,4.13397129186603,,,,,,,,,,
album,0.496,0.863,-4.153,0.0381,0.0046,0,0.639,0.243,110.018,true,1.35054773082942,,,,,,,,,,
album,0.623,0.93,-5.285,0.0324,0.0141,0.00000164,0.138,0.287,120.119,true,6.73913043478261,,,,,,,,,,
single,0.687,0.793,-4.254,0.166,0.0603,0,0.582,0.751,107.045,true,1.36254295532646,,,,,,,,,,
album,0.492,0.969,-4.419,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,true,12.3125794155019,,,,,,,,,,
album,0.554,0.978,-3.554,0.131,0.111,0,0.0731,0.594,135.095,true,13.3789329685363,,,,,,,,,,
album,0.529,0.967,-3.647,0.0508,0.114,0,0.61,0.596,140.127,true,1.58524590163934,,,,,,,,,,
album,0.524,0.939,-3.994,0.113,0.00022,0,0.623,0.661,150.184,true,1.50722311396469,,,,,,,,,,
album,0.58,0.702,-5.565,0.0337,0.0466,0.0000032,0.536,0.299,105.076,true,1.30970149253731,,,,,,,,,,
album,0.585,0.972,-4.45,0.0534,0.0143,0,0.0707,0.585,110.006,true,13.7482319660537,,,,,,,,,,
album,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,true,3.33333333333333,,,,,,,,,,
album,0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.113,0.118,76.426,true,3.47787610619469,,,,,,,,,,
album,0.36,0.501,-9.129,0.0258,0.0638,0.0000932,0.172,0.324,74.807,true,2.91279069767442,,,,,,,,,,
album,0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.0896,0.35,87.568,false,4.27455357142857,,,,,,,,,,
album,0.293,0.276,-11.357,0.0349,0.224,0.122,0.167,0.195,121.603,true,1.65269461077844,,,,,,,,,,
album,0.531,0.61,-8.025,0.0387,0.772,0.756,0.0908,0.199,152.958,true,6.71806167400881,,,,,,,,,,
album,0.462,0.832,-6.085,0.0479,0.108,0.00416,0.0741,0.807,165.653,true,11.2280701754386,,,,,,,,,,
album,0.463,0.229,-12.592,0.0297,0.167,0.0997,0.202,0.135,73.543,true,1.13366336633663,,,,,,,,,,
album,0.291,0.767,-6.913,0.0862,0.000401,0.012,0.0763,0.359,175.702,true,10.0524246395806,,,,,,,,,,
album,0.516,0.342,-9.785,0.0342,0.832,0.579,0.0857,0.167,128.378,true,3.99066511085181,,,,,,,,,,
album,0.574,0.913,-4.793,0.133,0.061,0.00158,0.156,0.423,115.728,true,5.8525641025641,,,,,,,,,,
album,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,true,4.10138248847926,,,,,,,,,,
album,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,true,8.45410628019324,,,,,,,,,,
album,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,true,1.96666666666667,,,,,,,,,,
album,0.754,0.759,-5.218,0.302,0.153,0.000108,0.101,0.435,126.366,true,7.51485148514851,,,,,,,,,,
album,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,true,3.1978021978022,,,,,,,,,,
album,0.668,0.906,-4.881,0.17,0.214,0.00245,0.135,0.507,135.653,true,6.71111111111111,,,,,,,,,,
album,0.457,0.904,-5.303,0.0747,0.000239,0.0879,0.396,0.48,141.038,true,2.28282828282828,,,,,,,,,,
album,0.456,0.863,-3.551,0.0894,0.133,0.0538,0.0553,0.532,135.962,false,15.6057866184448,,,,,,,,,,
album,0.547,0.931,-2.356,0.0615,0.000998,0.0118,0.278,0.697,118.4,true,3.34892086330935,,,,,,,,,,
album,0.744,0.766,-6.375,0.0265,0.0873,0,0.509,0.61,127.966,true,1.5049115913556,,,,,,,,,,
album,0.831,0.868,-5.282,0.0325,0.176,0,0.184,0.483,131.971,true,4.71739130434783,,,,,,,,,,
album,0.834,0.699,-3.222,0.178,0.111,0,0.131,0.809,94.086,true,5.33587786259542,,,,,,,,,,
album,0.659,0.628,-8.685,0.179,0.186,0,0.105,0.262,94.05,true,5.98095238095238,,,,,,,,,,
album,0.965,0.485,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,true,7.40458015267176,,,,,,,,,,
album,0.649,0.931,-3.15,0.181,0.0093,0,0.751,0.744,153.645,true,1.23968042609854,,,,,,,,,,
single,0.66,0.942,-2.273,0.185,0.00789,0.0000176,0.834,0.543,126.017,true,1.1294964028777,,,,,,,,,,
album,0.798,0.629,-6.857,0.0735,0.00474,0.0000229,0.324,0.4,130.002,true,1.94135802469136,,,,,,,,,,
album,0.732,0.716,-6.968,0.0561,0.0295,0.000758,0.73,0.666,105.093,true,0.980821917808219,,,,,,,,,,
